Country,Year,GDP,Type
Pakistan,1960,3749265014.69971,Historical
Pakistan,1961,4118647627.04746,Historical
Pakistan,1962,4310163796.72407,Historical
Pakistan,1963,4630827383.45233,Historical
Pakistan,1964,5204955900.88198,Historical
Pakistan,1965,5929231415.37169,Historical
Pakistan,1966,6561108777.82444,Historical
Pakistan,1967,7464510709.7858,Historical
Pakistan,1968,8041999160.0168,Historical
Pakistan,1969,8683116337.67325,Historical
Pakistan,1970,10027509449.811,Historical
Pakistan,1971,10665896682.0664,Historical
Pakistan,1972,9415016359.56604,Historical
Pakistan,1973,6383429490.21091,Historical
Pakistan,1974,8899191919.19192,Historical
Pakistan,1975,11230606060.6061,Historical
Pakistan,1976,13168080808.0808,Historical
Pakistan,1977,15126060606.0606,Historical
Pakistan,1978,17811515151.5152,Historical
Pakistan,1979,19688383838.3838,Historical
Pakistan,1980,23654444444.4444,Historical
Pakistan,1981,28100606060.6061,Historical
Pakistan,1982,30725971563.981,Historical
Pakistan,1983,28691889763.7795,Historical
Pakistan,1984,31151825467.4978,Historical
Pakistan,1985,31144920844.3272,Historical
Pakistan,1986,31899070055.7967,Historical
Pakistan,1987,33351529274.6869,Historical
Pakistan,1988,38472742808.3167,Historical
Pakistan,1989,40171106279.0078,Historical
Pakistan,1990,40010423970.4576,Historical
Pakistan,1991,45625336680.2047,Historical
Pakistan,1992,48884671947.4657,Historical
Pakistan,1993,51809999353.1614,Historical
Pakistan,1994,52293470813.1336,Historical
Pakistan,1995,60636071684.1918,Historical
Pakistan,1996,63320170084.4076,Historical
Pakistan,1997,62433340468.0228,Historical
Pakistan,1998,62191955814.3478,Historical
Pakistan,1999,62973857068.5113,Historical
Pakistan,2000,99484802344.5277,Historical
Pakistan,2001,97145618479.9038,Historical
Pakistan,2002,97923302809.3537,Historical
Pakistan,2003,112371913740.823,Historical
Pakistan,2004,132216048339.413,Historical
Pakistan,2005,145208562960.767,Historical
Pakistan,2006,161871385506.36,Historical
Pakistan,2007,184140869997.46,Historical
Pakistan,2008,202203748583.854,Historical
Pakistan,2009,187337783856.466,Historical
Pakistan,2010,196709621849.586,Historical
Pakistan,2011,230586581059.665,Historical
Pakistan,2012,250106966104.704,Historical
Pakistan,2013,258657231672.412,Historical
Pakistan,2014,271390474857.632,Historical
Pakistan,2015,299963590534.773,Historical
Pakistan,2016,313630000130.435,Historical
Pakistan,2017,339205534861.1,Historical
Pakistan,2018,356128166704.921,Historical
Pakistan,2019,320909472770.669,Historical
Pakistan,2020,300425609817.981,Historical
Pakistan,2021,348516647445.148,Historical
Pakistan,2022,374890295666.694,Historical
Pakistan,2023,336686348609.266,Historical
Pakistan,2024,371570000121.266,Historical
Pakistan,2025,3749265014.69971,Historical
Pakistan,2024,345476890368.625,Forecasted
Pakistan,2025,357950449774.875,Forecasted
Pakistan,2026,370646315518.625,Forecasted
Pakistan,2027,383564487599.875,Forecasted
Pakistan,2028,396704966018.875,Forecasted
Pakistan,2029,410067750775.25,Forecasted
Pakistan,2030,423652841869.1875,Forecasted
Pakistan,2031,437460239300.625,Forecasted
Pakistan,2032,451489943069.8125,Forecasted
Pakistan,2033,465741953176.375,Forecasted
Pakistan,2034,480216269620.4375,Forecasted
Pakistan,2035,494912892402.125,Forecasted
Pakistan,2036,509831821521.4375,Forecasted
Pakistan,2037,524973056978.1875,Forecasted
Pakistan,2038,540336598772.4375,Forecasted
Pakistan,2039,555922446904.4375,Forecasted
Pakistan,2040,571730601373.8125,Forecasted
Pakistan,2041,587761062180.6875,Forecasted
Pakistan,2042,604013829325.1875,Forecasted
Pakistan,2043,620488902807.3125,Forecasted
Pakistan,2044,637186282626.875,Forecasted
Pakistan,2045,654105968783.9375,Forecasted
Pakistan,2046,671247961278.5625,Forecasted
Pakistan,2047,688612260110.875,Forecasted
Pakistan,2048,706198865280.625,Forecasted
Pakistan,2049,724007776787.875,Forecasted
