country,country_code,year,population,gdp,internet_users,region ,GDP_per_capita
Bangladesh,BGD,1960,51828660,4274894083.33333,0,South Asia,82.48127741
Bangladesh,BGD,1961,53310348,4817580375,0,South Asia,90.36857863
Bangladesh,BGD,1962,54881146,5081413541.66667,0,South Asia,92.58942118
Bangladesh,BGD,1963,56504402,5319458562.5,0,South Asia,94.1423743
Bangladesh,BGD,1964,58178374,5386054833.33333,0,South Asia,92.57829779
Bangladesh,BGD,1965,59902519,5906636791.66667,0,South Asia,98.60414704
Bangladesh,BGD,1966,61669806,6439687854.16667,0,South Asia,104.4220547
Bangladesh,BGD,1967,63510929,7253575687.5,0,South Asia,114.2098817
Bangladesh,BGD,1968,65408276,7483685770.83333,0,South Asia,114.4149675
Bangladesh,BGD,1969,67294133,8471006437.5,0,South Asia,125.8803117
Bangladesh,BGD,1970,69058894,8992722166.66667,0,South Asia,130.2181608
Bangladesh,BGD,1971,70276758,8751843187.5,0,South Asia,124.5339631
Bangladesh,BGD,1972,71641519,6288245866.66667,0,South Asia,87.77376519
Bangladesh,BGD,1973,73722294,8086725729.3407,0,South Asia,109.6917268
Bangladesh,BGD,1974,75839348,12512460519.7088,0,South Asia,164.9863936
Bangladesh,BGD,1975,77854351,19448348073.4565,0,South Asia,249.804254
Bangladesh,BGD,1976,79855318,10117113333.3333,0,South Asia,126.6930442
Bangladesh,BGD,1977,81867264,9651149301.8746,0,South Asia,117.8877714
Bangladesh,BGD,1978,83889655,13281767142.8571,0,South Asia,158.3242552
Bangladesh,BGD,1979,85935072,15565480321.9448,0,South Asia,181.1307067
Bangladesh,BGD,1980,88016432,18138049095.6072,0,South Asia,206.0757143
Bangladesh,BGD,1981,90303105,20249694002.448,0,South Asia,224.2413924
Bangladesh,BGD,1982,92814507,18525399201.5968,0,South Asia,199.5959446
Bangladesh,BGD,1983,95335155,17609048821.5488,0,South Asia,184.7067729
Bangladesh,BGD,1984,97814966,18920840000,0,South Asia,193.435021
Bangladesh,BGD,1985,100253825,22278423076.9231,0,South Asia,222.2201804
Bangladesh,BGD,1986,102635572,21774033333.3333,0,South Asia,212.1489939
Bangladesh,BGD,1987,104959291,24298032258.0645,0,South Asia,231.4995845
Bangladesh,BGD,1988,107216008,26579005558.3652,0,South Asia,247.901466
Bangladesh,BGD,1989,109433799,28781715188.8919,0,South Asia,263.0057208
Bangladesh,BGD,1990,111633717,31598340778.2164,0,South Asia,283.0537371
Bangladesh,BGD,1991,113787109,30957483949.5798,0,South Asia,272.0649485
Bangladesh,BGD,1992,115952192,31708874594.1645,0,South Asia,273.4650725
Bangladesh,BGD,1993,118132360,33166519417.9894,0,South Asia,280.7572745
Bangladesh,BGD,1994,120343179,33768660882.793,0,South Asia,280.6030318
Bangladesh,BGD,1995,122600370,37939748768.6567,0.129807973947512,South Asia,309.4586808
Bangladesh,BGD,1996,124862179,46438484107.5795,3.099999905,South Asia,371.9179377
Bangladesh,BGD,1997,127198069,48244309133.4895,0.000751,South Asia,379.2849177
Bangladesh,BGD,1998,129622332,49984559471.3656,0.00368,South Asia,385.6168818
Bangladesh,BGD,1999,132108065,51270569883.5275,0.0362,South Asia,388.0956843
Bangladesh,BGD,2000,134544304,53369787318.6245,0.0710394230507683,South Asia,396.6707302
Bangladesh,BGD,2001,136805810,53991289844.3291,0.129807973947512,South Asia,394.65641
Bangladesh,BGD,2002,138933658,54724081490.5102,0.13992028850905,South Asia,393.8864223
Bangladesh,BGD,2003,140970351,60158929188.2556,0.163877665498048,South Asia,426.7488075
Bangladesh,BGD,2004,142902856,65108544250.0425,0.199036333744363,South Asia,455.6140169
Bangladesh,BGD,2005,144715786,69476001239.419,0.241600007,South Asia,480.0858508
Bangladesh,BGD,2006,146405973,71795736172.1561,1,South Asia,490.3880265
Bangladesh,BGD,2007,147989278,79611644974.5571,1.799999952,South Asia,537.9554928
Bangladesh,BGD,2008,149474264,91636997370.9772,2.5,South Asia,613.062041
Bangladesh,BGD,2009,150873714,102475158190.998,3.099999905,South Asia,679.2114774
Bangladesh,BGD,2010,152201981,115275540051.262,3.700000048,South Asia,757.3852804
Bangladesh,BGD,2011,153591076,128607482310.357,4.5,South Asia,837.3369447
Bangladesh,BGD,2012,155070101,133310747603.483,5,South Asia,859.6805364
Bangladesh,BGD,2013,156532141,149998957434.186,6.63,South Asia,958.2629898
Bangladesh,BGD,2014,157964929,172886611653.786,9.052900314,South Asia,1094.461997
Bangladesh,BGD,2015,159383179,195146608978.131,12.36880016,South Asia,1224.386477
Bangladesh,BGD,2016,160811932,265224515675.034,16.89909935,South Asia,1649.283809
Bangladesh,BGD,2017,162186147,293732446624.596,21.5,South Asia,1811.082217
Bangladesh,BGD,2018,163523103,321362752441.78,25.56509972,South Asia,1965.243727
Bangladesh,BGD,2019,164913055,351231654603.692,30.38310051,South Asia,2129.79897
Bangladesh,BGD,2020,166298024,373979442362.193,36.10910034,South Asia,2248.850788
Bangladesh,BGD,2021,167658854,416271647911.014,38.91744466,South Asia,2482.849178
Bangladesh,BGD,2022,169384897,460131689083.083,41.61650085,South Asia,2716.485928
Bangladesh,BGD,2023,171466990,437415333018.291,44.50274195,South Asia,2551.017738
Bangladesh,BGD,2024,173562364,450119432068.852,53.42171316,South Asia,2593.416117
Brazil,BRA,1960,72388126,17030465539.3906,0.0129,South America,235.2660095
Brazil,BRA,1961,74605447,17275940449.3837,0,South America,231.5640633
Brazil,BRA,1962,76865323,19231747851.5332,0,South America,250.2005729
Brazil,BRA,1963,79164235,23287712878.2002,0,South America,294.1696194
Brazil,BRA,1964,81488595,20963733694.9749,0,South America,257.2597269
Brazil,BRA,1965,83817583,22465522884.0988,0,South America,268.0287606
Brazil,BRA,1966,86139359,28283323733.1114,0,South America,328.3437915
Brazil,BRA,1967,88446124,31086389194.961,0,South America,351.4726004
Brazil,BRA,1968,90741240,33930457425.2613,0,South America,373.9254326
Brazil,BRA,1969,93045777,37171640818.5863,0,South America,399.4984191
Brazil,BRA,1970,95375651,42327664793.6934,0,South America,443.799485
Brazil,BRA,1971,97739273,48869830901.7878,0,South America,500.001989
Brazil,BRA,1972,100146797,58434858374.8696,0,South America,583.4920349
Brazil,BRA,1973,102600976,83592275862.9982,0,South America,814.7317806
Brazil,BRA,1974,105089675,109794519727.538,0,South America,1044.769809
Brazil,BRA,1975,107619565,129203555238.827,0.00329,South America,1200.558237
